# Verbs with an etymology but no corpus example sentence.
# Generated by the integrate skill (Mode B) from the Phase 4 mined shards.
# Input to the corpus-expansion re-mine: prompts/uses_etymologies.md Phase 5.
#
# reason=no-candidates           the corpus never attests this verb; wants a larger corpus of the
#                                missing register (news / administrative / technical German), not
#                                more of the same literary sources. Re-mine after expansion.
# reason=candidates-none-usable  the corpus has the token but no candidate yielded a sentence. The
#                                third column says why, and the reasons are NOT uniform: some are
#                                nominal-only / homograph-drained / furniture (a corpus-quality
#                                floor), but a real fraction are GENUINE verbal uses rejected only
#                                for exceeding the 55-word ceiling — those are recoverable by
#                                revisiting the ceiling, not by expanding the corpus. Read the note
#                                before deciding the fix; the two-bucket "all nominal" framing in
#                                the Phase 5 brief is coarser than what's actually here.
#
# format: <verb>	<reason>	<subagent note, if any>

einfühlen	no-candidates	no candidates
eingießen	no-candidates	no candidates
einheben	no-candidates	no candidates
einherfahren	no-candidates	no candidates
einherschreiten	no-candidates	no candidates
einjagen	no-candidates	no candidates
einkochen	no-candidates	No candidates. The gloss "boil down" (reduction by boiling) fits no listed ein- sense; sense 2 was picked for the preserving reading, and a reductive sense appears to be missing from the prefix table.
einkriegen	no-candidates	no candidates
einlagern	no-candidates	no candidates
einleben	no-candidates	no candidates
einlenken	no-candidates	no candidates
einliefern	no-candidates	no candidates
einmachen	no-candidates	no candidates
einpflanzen	candidates-none-usable	Sole candidate is a five-word fragment ("Sicherheit und SPD einpflanzen lassen."); rejected.
einpflegen	no-candidates	no candidates
einreiben	no-candidates	no candidates
einrollen	no-candidates	no candidates
einrühren	no-candidates	no candidates
einsagen	no-candidates	no candidates
einsaugen	no-candidates	no candidates
einschauen	no-candidates	Shard gloss „cover the eyes with one's hands“ does not match the common meaning of einschauen (South German „to look in, drop by“); no candidates to disambiguate.
einschießen	no-candidates	no candidates
einschwören	no-candidates	no candidates; einschwören („commit/rally someone to a cause“) fits ein- sense 1 only loosely — arguably a causative-binding sense not among the six.
einsenden	no-candidates	no candidates
einspringen	no-candidates	no candidates
einstechen	no-candidates	no candidates
einstimmen	no-candidates	no candidates
eintauchen	candidates-none-usable	Sole candidate is a Luther mis-split: an embedded verse number (26) joins John 13:25 and 13:26 into one text. Rejected as not a clean sentence; no usable candidate.
eintippen	no-candidates	no candidates
einvernehmen	no-candidates	no candidates. Obscure legal (chiefly Austrian) layered compound ein- + ver- + nehmen; the ein- contribution is not cleanly one of the listed senses (picked 0, "taking in").
einwechseln	no-candidates	no candidates
einwecken	no-candidates	False decomposition: einwecken "to preserve/can" is denominal from the Weck brand of preserving jars (Einweckglas), not from wecken "to wake." No candidates.
einweichen	no-candidates	Root bullet describes the strong weichen "to yield"; einweichen "to soak" (family w) belongs to the weak weichen from weich "soft." No candidates.
einweisen	candidates-none-usable	Sole candidate is a false match: token "weisen" is the adjective (die weisen Frauen "the wise women") and the separable ein belongs to einladen "to invite," not einweisen. Rejected; no sentence.
einwählen	no-candidates	no candidates
eislaufen	no-candidates	no candidates
emporblicken	no-candidates	no candidates
emporfahren	no-candidates	no candidates
emporhelfen	no-candidates	no candidates
emporkommen	no-candidates	no candidates
emporstreben	no-candidates	no candidates
emportragen	no-candidates	no candidates
emporwachsen	candidates-none-usable	Only candidate is a 68-word Nietzsche period, over the 65-word ceiling for a sole candidate.
enteignen	no-candidates	no candidates
entflechten	no-candidates	no candidates
entfließen	no-candidates	no candidates
entfolgen	no-candidates	no candidates
entgegenhalten	no-candidates	no candidates
entgegensehen	no-candidates	no candidates
entgegenstreben	no-candidates	no candidates; gloss takes the 'strive toward' reading (sense 0), though the verb is at least as common in the opposite 'strive against' sense.
enthaften	no-candidates	no candidates
entladen	no-candidates	no candidates
entlangfahren	no-candidates	no candidates
entlanggehen	no-candidates	no candidates
entleihen	no-candidates	no candidates
entlieben	no-candidates	no candidates
entmieten	no-candidates	no candidates
entmischen	no-candidates	no candidates
entnerven	candidates-none-usable	Only candidate is a predicative/adjectival participle (erwachte ... entnervt, coordinated with the adjectives zerrüttet und kraftlos), not a genuine verbal use.
entpacken	no-candidates	no candidates
entraten	candidates-none-usable	Only candidate (Mann) is a 71-word period, over the 65-word ceiling; the entriet use itself cleanly attests the gloss.
entreißen	no-candidates	no candidates
entsichern	no-candidates	no candidates
entsperren	no-candidates	no candidates
entspiegeln	no-candidates	no candidates
entstammen	candidates-none-usable	Sole candidate carries a leading footnote marker ('77' + tab) and a truncated trailing date ('...zum 30.'); not shippable verbatim as a clean sentence.
entsteigen	candidates-none-usable	Only candidate is a 74-word Mann period, over the 65-word ceiling.
entstören	no-candidates
entwarnen	no-candidates
entwerten	no-candidates
entzweibrechen	no-candidates
entzweigehen	no-candidates
entäußern	no-candidates	no candidates
erahnen	no-candidates	Sole candidate is a broken Bundestag fragment: the relative clause 'mit denen Sie …' breaks off into an interpolated '(Beifall bei der AfD …)' stage direction. No usable sentence.
erbeten	candidates-none-usable	All candidates are the participle ~erbeten~ of the strong doublet ~erbitten~ (this shard's next verb); the weak ~erbeten~ has participle ~erbetet~, so none attests this lemma. Sentence null.
erfangen	no-candidates
erfließen	no-candidates
erfühlen	no-candidates	no candidates
erklimmen	no-candidates	no candidates
erlesen	no-candidates	no candidates
erlügen	no-candidates	no candidates
erschauen	no-candidates	no candidates
erschwingen	no-candidates	no candidates
erspüren	no-candidates	no candidates
erstaufführen	no-candidates	no candidates
erstinken	no-candidates	no candidates
erstreiten	no-candidates	no candidates
ertanzen	no-candidates	no candidates
erträumen	candidates-none-usable	Sole candidate uses ~erträumte Zukunft~ — the past participle attributively, an adjectival use, not a finite verbal one — so rejected; sentence null.
ertöten	no-candidates	ertöten: base töten already denotes killing, so no death exemplar (sense 4) fits its frame; er- reads as completive/intensive (sense 0), figurative „deaden, mortify.“ No candidates.
erwünschen	candidates-none-usable	All candidates are the participle ~erwünscht~ ("desired") used adjectivally or predicatively (e.g. "erwünscht genug"), not a finite verbal use.
falschspielen	no-candidates	no candidates
fehlbesetzen	no-candidates	no candidates
fehlleiten	no-candidates	no candidates
feilbieten	no-candidates	no candidates
ferngucken	no-candidates	no candidates
fernliegen	no-candidates	no candidates. Sense 0 fits only loosely — ~fernliegen~ is stative ("be distant/alien to") rather than acting across a distance.
fernschauen	no-candidates	no candidates
fernsehen	no-candidates	no candidates
festbacken	no-candidates	no candidates
festfahren	no-candidates	no candidates
festfragen	no-candidates	no candidates; rare verb
festhängen	no-candidates	no candidates
festkleben	no-candidates	no candidates
festlaufen	no-candidates	no candidates
festsaugen	no-candidates	no candidates
festtreten	no-candidates	no candidates
festziehen	no-candidates	no candidates
flachlegen	no-candidates	no candidates
fortbestehen	no-candidates	no candidates
fortbilden	no-candidates	no candidates
fortdauern	no-candidates	no candidates
fortgeben	no-candidates	no candidates
fortlegen	no-candidates	no candidates
fortlocken	no-candidates	no candidates
fortreisen	no-candidates	no candidates
forträumen	no-candidates	no candidates
fortschaffen	no-candidates	no candidates
fortwähren	candidates-none-usable	All five candidates are the lexicalized adverb/adjective 'fortwährend', not a finite verbal use of fortwähren; returning null.
fortzahlen	no-candidates
freihaben	no-candidates	no candidates
freinehmen	no-candidates	no candidates
freitesten	no-candidates	no candidates
fremdgehen	no-candidates	no candidates
gegenlesen	no-candidates	no candidates
gegenwirken	no-candidates	no candidates
gegenzeichnen	no-candidates	no candidates
gehaben	candidates-none-usable	~gehaben~ is not among the ~ge-~ exemplars; assigned the fused sense (index 3). Sentence null: every candidate is the participle ~gehabt~ of ~haben~, not ~gehaben~.
geradebiegen	no-candidates	no candidates
geringhalten	no-candidates	no candidates
geringschätzen	no-candidates	no candidates
geruhen	candidates-none-usable	Sentence null: the clean candidates are all the base verb ~ruhen~ „to rest“ (identical participle ~geruht~); the only ~geruhen~ „deign“ attestations are truncated, slash-punctuated Westfälischer-Friede fragments, not usable sentences.
gesundmelden	no-candidates	no candidates
glattstellen	no-candidates	no candidates
glattziehen	no-candidates	no candidates
gleichbehandeln	no-candidates	no candidates
gleichschalten	no-candidates	no candidates
gleichsehen	no-candidates	no candidates
gleichziehen	no-candidates	no candidates
großschreiben	no-candidates	no candidates
großziehen	no-candidates	no candidates
gutheißen	candidates-none-usable	All candidates are Luther's „Was heißest du mich gut?“ — the free construction heißen + adjective (“to call someone good”), not the compound gutheißen “to approve.” No genuine attestation of the compound.
gutschreiben	no-candidates	no candidates
gären	candidates-none-usable	Sole candidate is a false match: the Low German “gor” in “bruukden gor keen Solt” is the adverb “gar” (needed no salt at all), not the preterite of ~gären~.
heimfahren	candidates-none-usable	The sole candidate's token is heimführen (“lead home”), a different verb (führen, not fahren); no genuine attestation of heimfahren.
heimfinden	no-candidates	no candidates
heimleuchten	no-candidates	no candidates
heimreisen	no-candidates	no candidates
heimtrauen	no-candidates	no candidates
heimzahlen	no-candidates	no candidates
heißmachen	no-candidates	no candidates
hellsehen	no-candidates	no candidates
herabstürzen	no-candidates	no candidates
herabwürdigen	no-candidates	no candidates
heranbilden	no-candidates	no candidates
heranbrechen	no-candidates	no candidates
heranführen	no-candidates	no candidates
heranhalten	no-candidates	no candidates
heranreichen	candidates-none-usable	Sole candidate (Luther) is a ~50-word passage spanning two merged verses (mis-split), too long and broken for a phone screen; the verb use itself (heranreichen an = extend/reach up to) is genuine. Nulled for Phase 5.
heraufbeschwören	no-candidates	no candidates. herauf sense 1 per exemplar (grouped with heraufziehen as 'bring on'); be- here is lexicalized (beschwören), taken as the transitivizing sense 0.
heraufgeben	no-candidates	no candidates
heraufhalten	no-candidates	no candidates
heraufsetzen	no-candidates	no candidates
herausbekommen	no-candidates	no candidates. heraus sense 1 (bring into the open / discover); be- here is lexicalized (bekommen), taken as the transitivizing sense 0.
herausdringen	no-candidates	no candidates
herauskriegen	no-candidates	no candidates
herauslösen	no-candidates	no candidates
herausreden	candidates-none-usable	Sole candidate is 'reden ... vom Hause heraus' — plain reden with an adverbial 'heraus', not the separable verb herausreden — so no genuine attestation.
herausschaffen	no-candidates	Root schaffen is two homographs; family 'w' (weak) selects the 'manage/accomplish' branch, stated in the closer. No candidates.
herausschauen	no-candidates	no candidates
herausschmecken	no-candidates	no candidates
herausschmeißen	no-candidates	no candidates
herausschneiden	no-candidates	no candidates
herausstechen	no-candidates	no candidates
herausstreichen	no-candidates	no candidates
heraussuchen	no-candidates	no candidates
herbeiziehen	no-candidates	no candidates
hereinfinden	no-candidates	no candidates
hereingeben	no-candidates	no candidates
hereinlegen	no-candidates	no candidates; sense 0 (literal „lay in“) chosen over the figurative sense 1 to match this reading's gloss „lay down inside, put,“ even though hereinlegen is itself the sense-1 exemplar
herhalten	no-candidates	no candidates
herhören	candidates-none-usable	sole candidate is a false match: „Man hört ihre Rosse schnauben von Dan her“ is hören + the phrase „von Dan her,“ not the verb herhören
herreisen	no-candidates	no candidates
herreißen	no-candidates	no candidates
herrichten	candidates-none-usable	her- bleached; verb resembles no her- exemplar, sense 0 assigned as nearest. The sole candidate (Luther, "richte deinen Weg vor mir her") is the directional frame "vor mir her" (ahead of me) on the base verb richten, not the "arrange/fix up" sense of herrichten; rejected, sentence null.
hersagen	no-candidates	no candidates
herumhängen	no-candidates	no candidates
herumkriegen	no-candidates	no candidates
herumreisen	no-candidates	no candidates
herumschlagen	no-candidates	no candidates
herumspinnen	no-candidates	Gloss "spin around" is the literal reading, but sense 1 assigned per exemplar placement: colloquial herumspinnen means "fool around, act crazy." No candidates.
herumsprechen	no-candidates	no candidates
herunterbrechen	candidates-none-usable	no candidates
herunterdrücken	no-candidates	no candidates
herunterfahren	candidates-none-usable	Exemplar slot places herunterfahren under the figurative reducing/shut-down sense (2); the reading's 'drive down' names the literal downward sense (0), which I follow per the brief. No usable sentence: candidate 0 is herunterführen ('lead down'), a different verb; candidate 1 (Wikipedia) is a broken extraction missing a noun — 'durch ein ___ erreicht werden.'
herunterhalten	no-candidates	no candidates
herunterhandeln	no-candidates	no candidates
heruntermachen	no-candidates	heruntermachen 'denigrate' stretches herunter- sense 2 (reducing a price/volume/fever) figuratively to a person's standing; no sense slot fits it exactly.
herunterrutschen	no-candidates	no candidates
heruntersetzen	candidates-none-usable	Sole candidate is a mis-split Bundestag fragment: a heckle „Erdrückt“ nennt man das!) with a dangling closing parenthesis prepended to the ~45-word sentence; rejected as not a clean standalone sentence. No usable candidate.
herunterspielen	no-candidates	no candidates
herunterziehen	no-candidates	no candidates
hervortauchen	no-candidates	no candidates
herzeigen	no-candidates	no candidates
herüberkommen	candidates-none-usable	Sole candidate (Luther) carries an embedded verse number ("zur Erde 21 und sprach") and runs two verses together; rejected as a mis-split, sentence null.
hinabklettern	no-candidates	no candidates
hinaufgeben	no-candidates	no candidates
hinaufhalten	no-candidates	no candidates
hinaufschauen	no-candidates	no candidates
hinausgeben	candidates-none-usable	Sole candidate (Luther, Judges 12) is a mis-split: it carries a stray verse number ("sieben Jahre 10 und starb") and runs two verses together, so it is not a clean sentence. hinausgeben has no exemplar; its sense was chosen by analogy to the transitive 'convey out' verbs.
hinaushalten	no-candidates	no candidates
hinauslehnen	no-candidates	no candidates
hinausschieben	no-candidates	no candidates
hineingeben	candidates-none-usable	Sole candidate's ~hinein~ attaches to ~trat~ (hineintreten, "stepped in"), not to ~gab~, so it does not attest hineingeben. hinein- sense chosen by analogy to the sense-0 "into" verbs; hineingeben has no exemplar.
hineinpassen	no-candidates	no candidates
hineinrufen	no-candidates	no candidates
hineinspielen	no-candidates	no candidates
hineinversetzen	no-candidates	no candidates
hinschreiben	no-candidates
hinstürzen	no-candidates
hintanlegen	no-candidates
hintansetzen	no-candidates
hinterherpfeifen	no-candidates
hinterherreisen	no-candidates
hinterherräumen	no-candidates
hintertreiben	no-candidates
hinterziehen	no-candidates
hinunterdrücken	no-candidates
hinunterhalten	no-candidates
hinunterklettern	no-candidates
hinunterrutschen	no-candidates
hinunterschauen	no-candidates
hinunterziehen	no-candidates
hinwegschauen	no-candidates	no candidates
hinwegsetzen	candidates-none-usable	Sense 0 (literal 'leap over') taken on the reading's gloss, though the exemplar slot files this verb under the figurative brushing-aside sense. No sentence: the two candidates were a truncated runaway Nietzsche period and a column-gutter-garbled Bundestag snippet.
hinzubekommen	no-candidates	no candidates
hocharbeiten	no-candidates	no candidates
hochdienen	no-candidates	no candidates
hochdrehen	no-candidates	no candidates
hochfliegen	candidates-none-usable	Sole candidate is ~fliegen~ with the gradable adverb 'so hoch' (altitude), not the particle verb ~hochfliegen~ 'fly up'; rejected, so no sentence.
hochklappen	no-candidates	no candidates
hochkochen	no-candidates	no candidates
hochkriechen	no-candidates	no candidates
hochnehmen	no-candidates	no candidates
hochschauen	no-candidates	no candidates
hochschlafen	no-candidates	Figurative; resembles no hoch exemplar directly, so the upward-motion slot (0) was taken by analogy to the self-propelled sense.
hochschätzen	no-candidates	In ~hochschätzen~ the ~hoch~ is evaluative ('highly'), a sense not among the three listed for ~hoch~ (all directional/spatial); sense 1 taken as least-bad. No candidates.
hochspielen	no-candidates	Figurative raising of an issue's prominence; the transitive raising slot (1) fits better than the self-motion slot.
hochstecken	no-candidates	no candidates
hochsteigen	no-candidates	no candidates
hochstellen	no-candidates	no candidates
hochtragen	no-candidates	no candidates
irreführen	no-candidates	no candidates
kaltmachen	no-candidates	Sense slot 2 glosses figurative sidelining, but this verb's translation is specifically "to kill"; kept the slot (kaltmachen is its exemplar) and flagged the harsher figurative in the closer.
kaputtlachen	no-candidates	no candidates
kaputtreißen	no-candidates	no candidates
kehrtmachen	no-candidates	no candidates
keifen	no-candidates	no candidates
klarlegen	no-candidates	no candidates
klarträumen	no-candidates
kleinhalten	no-candidates
kleinreden	no-candidates
kleinschreiben	no-candidates	Neither klein exemplar covers the orthographic 'write lowercase' reading; sense 0 (resultative-literal) is the nearest fit.
klieben	no-candidates
klimmen	no-candidates
klugreden	no-candidates
kneifen	no-candidates
kneipen	no-candidates
krankfeiern	no-candidates
krankmachen	no-candidates
krankmelden	no-candidates
krauchen	candidates-none-usable	All candidates are strong forms of kriechen (kroch/gekrochen/krocht); weak krauchen (krauchte/gekraucht) is unattested in the pool, so no genuine use of this lemma.
kundgeben	no-candidates
kurzarbeiten	no-candidates
kurzschließen	no-candidates
kürzertreten	no-candidates
langmachen	no-candidates	No candidates. The terse gloss "stretch" is read temporally (drawing something out over time) rather than as spatial lengthening.
leerlaufen	no-candidates	No candidates. The sense slot assigns the idling reading (engine without load); the vague gloss "empty" would also fit the draining-container reading.
leerrauchen	no-candidates	No candidates.
lockermachen	no-candidates	No candidates.
losbrechen	no-candidates	No candidates.
loslachen	no-candidates	No candidates.
loslaufen	no-candidates	No candidates.
lossagen	no-candidates	No candidates.
losschießen	no-candidates	No candidates.
lostreten	no-candidates	No candidates.
losziehen	candidates-none-usable	Only candidate parses as herausziehen + loslassen (zog ... raus ... liess ihn los), not losziehen; no genuine attestation.
madigmachen	no-candidates
malnehmen	no-candidates
mattsetzen	no-candidates
mausrutschen	no-candidates	The maus- morpheme is glossed as the fossil intensifier of ~mausetot~, but this verb's translation ('misclick, mouse slip') names the computer-device ~Maus~, a transparent modern compound; assigned sense 1 (the noun Maus) per the reading and flagged the fossil chain as describing a homonymous element.
maßhalten	no-candidates
maßnehmen	candidates-none-usable	No sentence: all five candidates are the noun ~Maßnahme(n)~ ("measure, step"), not the verb ~maßnehmen~ ("take someone's measurements").
mitfolgen	candidates-none-usable	No sentence: the only candidate is a 60+-word Luther run-on with embedded verse numbers (2, 3, 4), rejected as over-length and mis-split.
mithören	no-candidates	no candidates
mitklingen	no-candidates	no candidates
mitmischen	no-candidates	no candidates
mitreisen	no-candidates	no candidates
mitschneiden	no-candidates	The mit- exemplars do not cleanly cover the "record as it happens" sense; sense 0 (temporal accompaniment, "along with the live event") chosen as nearest.
mitsingen	no-candidates	no candidates
mitunterzeichnen	no-candidates	no candidates
mitzeichnen	no-candidates	no candidates
mobilmachen	no-candidates	no candidates
nachbacken	no-candidates	no candidates
nachbehandeln	no-candidates	no candidates
nachbestellen	no-candidates	no candidates
nachbeten	no-candidates	no candidates
nacherzählen	no-candidates	no candidates; er- in erzählen is bleached and matches no er- exemplar cleanly — the completion sense was picked as least-bad.
nachführen	no-candidates	no candidates
nachfüllen	no-candidates	no candidates
nachgeraten	no-candidates	no candidates; nach- here is resemblance ("take after"), which fits the imitation sense only loosely.
nachgießen	no-candidates	no candidates
nachhalten	no-candidates	no candidates
nachkaufen	no-candidates	no candidates
nachklingen	no-candidates	no candidates
nachladen	no-candidates	no candidates; family s selects the strong "load" twin over the weak "invite" twin.
nachleben	no-candidates	no candidates
nachleisten	no-candidates	no candidates
nachnehmen	no-candidates	no candidates
nachpfeifen	no-candidates	no candidates
nachrechnen	candidates-none-usable	Sole candidate is a Bundestag interjection with a stray closing paren and an orphaned clause („...nach!) 100 Milliarden Euro jährlich!“); rejected as not a clean sentence.
nachreisen	no-candidates	no candidates
nachrennen	no-candidates	no candidates
nachsalzen	no-candidates	no candidates
nachsingen	no-candidates	no candidates
nachspüren	no-candidates	no candidates
nachsteigen	no-candidates	no candidates
nachtreten	no-candidates	no candidates
nachverfolgen	no-candidates	no candidates; inner ver- assigned sense 0 (intensifying folgen into pursuit), a judgment call for the bound prefix.
nachverhandeln	no-candidates	no candidates; inner ver- assigned sense 0 (carrying handeln through to a settlement), a judgment call for the bound prefix.
nachweinen	no-candidates	No exemplar fits cleanly; picked nach- sense 0 (the tears directed after what is gone).
nachzahlen	no-candidates	no candidates
nahestehen	no-candidates	no candidates
nebeneinanderhalten	no-candidates	no candidates
neustarten	no-candidates	no candidates
niederbrechen	no-candidates
niederbrennen	no-candidates	niederbrennen fits nieder- sense 1 (forcing/striking down) only loosely — here the particle marks reduction to the ground by fire, a destruction sense the exemplar list does not cover directly.
niederführen	no-candidates	niederführen for „run over“ is a marginal formation; the nieder- 1 (forcing down) assignment is by best fit.
niederhalten	no-candidates
niederhauen	no-candidates
niederkommen	no-candidates
niedermachen	candidates-none-usable	Only candidate is a false split — its token ~macht~ is the plain verb „machen“, while the stranded ~nieder~ belongs to a separate verb of kneeling („kniet ... nieder“); no genuine attestation of niedermachen.
niederreden	no-candidates	no candidates
niederringen	candidates-none-usable	Sole candidate is Bundestag-protocol text prefixed with orphaned heckle cruft ("Unglaublich!) AfD:") — not a clean standalone sentence; rejected, so no sentence.
niederrinnen	no-candidates	no candidates
niederschauen	no-candidates	no candidates. Sense 0 taken as nearest; the verb is a directional gaze and resembles neither ~nieder-~ exemplar group precisely.
niederschießen	no-candidates	no candidates
näherstehen	no-candidates	no candidates
plattmachen	no-candidates	no candidates. The reading glosses "flatten," the literal resulting-flat-state sense (0); the figurative "dumbfounded" sense was not taken.
publikmachen	no-candidates	no candidates
querdenken	no-candidates	no candidates
querlesen	no-candidates	no candidates
querschießen	no-candidates	no candidates
querschlagen	no-candidates	no candidates. The reading glosses "ricochet," the crosswise-deflection sense (0); the "obstruct" sense (1) was not taken despite the slot.
ranhalten	no-candidates	no candidates
raufgehen	no-candidates	no candidates
raufhalten	no-candidates	no candidates
rausbringen	no-candidates	no candidates
rausdrehen	no-candidates	no candidates
rausfliegen	no-candidates	no candidates
rausgehen	no-candidates	no candidates
rauslassen	no-candidates	no candidates
rechtdrehen	no-candidates	recht- here is the directional "to the right / clockwise" sense (as in rechts), which none of the provided recht- senses names; the adverbial slot was the closest but its gloss "properly" is off, so the closer supplies the directional meaning. Missing sense. No candidates.
rechtschreiben	no-candidates	no candidates
reinfallen	no-candidates	no candidates
reinfeiern	no-candidates	reinfeiern fits none of the rein- exemplars cleanly; its "into a day" is temporal/figurative, closest to the motion-into sense (index 0). No candidates.
reingehen	no-candidates	no candidates
reinhauen	no-candidates	no candidates
reinhängen	no-candidates	no candidates
reinmachen	no-candidates	no candidates
reinscheißen	no-candidates	no candidates
reinstecken	no-candidates	no candidates
richtigliegen	no-candidates	No candidates.
rotsehen	no-candidates	No candidates.
rumbringen	no-candidates	No candidates.
rumkommen	no-candidates	No candidates.
rumlaufen	no-candidates	No candidates.
rummachen	no-candidates	No candidates.
rumschmeißen	no-candidates	No candidates.
rumstehen	no-candidates	No candidates.
rundgehen	no-candidates	No candidates.
runterdrücken	no-candidates	No candidates.
runterhalten	no-candidates	No candidates.
runterkommen	no-candidates	No candidates.
runterladen	no-candidates	No candidates.
runterschauen	no-candidates	no candidates
rübermachen	no-candidates	No candidates.
rückbesinnen	no-candidates	No candidates.
rückdrehen	no-candidates	No candidates.
rückwärtsfahren	no-candidates	No candidates.
rückzahlen	no-candidates	No candidates.
rücküberweisen	no-candidates	No candidates.
scheckiglachen	no-candidates	no candidates
scheißen	no-candidates	no candidates
schieflachen	no-candidates	no candidates
schiefliegen	no-candidates	no candidates
schlappmachen	no-candidates	no candidates
schleißen	no-candidates	no candidates
schwarzarbeiten	no-candidates
schwarzbrennen	no-candidates
schwarzfahren	no-candidates
schwarzsehen	no-candidates
schwären	no-candidates
schönreden	no-candidates
schönsaufen	no-candidates
schöntrinken	no-candidates
seilspringen	no-candidates
sichergehen	no-candidates	Exemplars are degenerate — senses 1 and 2 both list only "sichergehen" — so the slot gives no signal; picked sense 2 by the unambiguous translation "make sure."
sonderkündigen	no-candidates	Exemplars are degenerate — all three sense slots list only "sonderkündigen" — so the slot gives no signal; picked sense 0 by the translation, a Sonderkündigungs-right being an extraordinary one.
spleißen	no-candidates	no candidates
sprießen	no-candidates	no candidates
stattgeben	no-candidates	no candidates
statthaben	no-candidates	no candidates
steckenbleiben	no-candidates	no candidates
stieben	no-candidates	no candidates
strammstehen	no-candidates	no candidates
stummschalten	no-candidates	no candidates
totarbeiten	no-candidates	no candidates
totkochen	no-candidates	No candidates. Sense: totkochen matches none of the three tot- exemplar sets cleanly; read as the base resultative (sense 0, “carried on until the object is dead”), here stretched to food overcooked to ruin rather than a living victim.
totlachen	no-candidates	no candidates
totlaufen	no-candidates	no candidates
totreden	no-candidates	no candidates
totsagen	no-candidates	no candidates
totsaufen	no-candidates	no candidates
totstechen	no-candidates	no candidates
tottrinken	no-candidates	no candidates
umarbeiten	no-candidates	no candidates
umbiegen	no-candidates	no candidates
umbilden	no-candidates	no candidates
umbinden	no-candidates	no candidates
umbrechen	candidates-none-usable	sentence null: the sole candidate is a form of umbringen (dialectal umbracht = umgebracht, 'killed'), a homograph, not umbrechen.
umbuchen	no-candidates	no candidates
umdenken	candidates-none-usable	sentence null: the sole candidate is a 70-word, multi-sentence Nietzsche period, over the length ceiling.
umeinanderstehen	no-candidates	no candidates
umerziehen	no-candidates	no candidates. er- in erziehen assigned sense 3 (the older spatial 'draw up' = rear); a loose fit for the now-abstract 'educate.'
umfließen	no-candidates	no candidates
umformen	no-candidates	no candidates
umhaben	no-candidates	No candidates; also umhaben is stative (a garment worn around the body), so sense 0's 'motion around' fits only loosely, at its static edge.
umklappen	no-candidates	no candidates
umkämpfen	candidates-none-usable	Both candidates are predicative 'sind umkämpft' — adjectival Zustandspassiv (gradable, cf. 'heftig umkämpft'), not a genuine verbal use; no verbal candidate survives, so null.
umlagern	no-candidates	No candidates. Also a marker/gloss conflict: the reading is marked inseparable, but its translation 'transfer, relocate' names the separable doublet; inseparable umlagern means 'besiege/surround', so the etymology follows the marked inseparable sense and the closer flags the mismatch.
umlauten	no-candidates	no candidates
umleiten	no-candidates	no candidates
umlenken	no-candidates	no candidates
umlügen	no-candidates	no candidates
ummelden	no-candidates	no candidates
umnutzen	no-candidates	no candidates
umpflanzen	no-candidates	no candidates
umrechnen	no-candidates	no candidates
umrunden	no-candidates
umräumen	no-candidates	no candidates
umrühren	no-candidates
umschalten	no-candidates
umschließen	no-candidates
umschulen	no-candidates
umsorgen	no-candidates	Semantically umsorgen is the encircling 'surround-with-care' sense, which the separable um- inventory does not cleanly carry (used the closest, sense 0); the verb is in fact usually inseparable. No candidates.
umstreiten	candidates-none-usable	No sentence: both candidates are the predicative adjective umstritten (graded/controversial: 'wenig umstritten', 'umstritten oder heiß diskutiert'), not a verbal use.
umtauschen	no-candidates
umtreten	candidates-none-usable	No usable sentence: the sole candidate is a false split — the particle 'um' belongs to 'wandte ... um' (umwenden), not to 'trat'. The gloss 'boot' is also terse/unclear.
umändern	no-candidates	no candidates
unterbewerten	no-candidates	No candidates. Note: unter- here is the quantitative 'below true value / too little' sense (as in unterschätzen), which the insep:unter inventory does not list; used the closest, sense 0 (literal beneath).
unterbezahlen	no-candidates	unter- here is the "below a norm" reading — a metaphorical extension of the literal-beneath sense (0), not a separately listed sense.
unterfordern	no-candidates	unter- here is the "below a norm" reading — a metaphorical extension of the literal-beneath sense (0), not a separately listed sense.
unterführen	no-candidates	no candidates
unterheben	no-candidates	no candidates
unterkommen	no-candidates	no candidates
unterkriegen	no-candidates	Separable, but the "subdue/defeat" meaning shades into the abstract-subjection reading proper to the inseparable prefix; no purely spatial separable sense covers it cleanly, so the literal-under sense (0) is taken.
untermalen	no-candidates	no candidates
untermischen	no-candidates	no candidates
unterschieben	no-candidates	no candidates
untersinken	no-candidates	no candidates
untersteuern	no-candidates	No candidates. unter- here marks a shortfall / below-the-norm degree (cf. unterschätzen), a sense the exemplar inventory lacks; spliced the literal 'beneath' sense and reconciled it in the closer.
unterteilen	no-candidates	No candidates. unter- here is the hierarchical 'sub-' extension of 'beneath'; no exemplar matches cleanly.
untertreiben	no-candidates	No candidates. unter- here is the 'insufficiently / below the true measure' degree sense (counterpart of über-), absent from the exemplar inventory; spliced the literal 'beneath' sense and corrected it in the closer.
untervermieten	no-candidates	no candidates
veranschlagen	no-candidates	no candidates
verbeißen	no-candidates	no candidates
verbilden	no-candidates	no candidates
verbrechen	candidates-none-usable	No usable candidate: four candidates are 'verbracht', the participle of verbringen (a different verb — verbrechen's participle is verbrochen), and the one true 'verbrechen' token is a garbled non-sentence. Sentence null.
verdenken	no-candidates	no candidates
